,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,10.019476,0.3307212,1.7667661,1.6111822,6.8312488,0.26962438,2.7212245,2.0061126
1,8.801702,0.29660818,1.7667767,1.998369,6.7135744,0.2539199,2.7212493,2.0892434
2,8.625312,0.31641734,1.766744,1.8918732,6.4942737,0.2222155,2.7210355,2.2235243
3,8.319105,0.286242,1.7667747,2.0664234,8.742975,0.27841932,2.7208822,1.9504637
4,8.151137,0.2773648,1.7667961,2.1283345,5.750144,0.20352945,2.7206845,2.04923
5,9.484574,0.27656373,1.7667933,1.5658207,7.3311296,0.24531257,2.7207239,2.0380101
6,8.35028,0.2828334,1.7667363,2.2731812,6.4804373,0.21525781,2.7208796,2.3475134
7,9.578005,0.28747195,1.7667582,1.9622277,6.534534,0.20806146,2.7207239,2.1777267
8,9.635283,0.28938198,1.7667739,1.9929135,5.7596445,0.22051887,2.7209392,2.236424
9,10.131836,0.3335948,1.7667667,1.6960452,8.368638,0.29257303,2.7208,1.9339248
10,10.923457,0.33336952,1.7667869,1.5940225,7.7662764,0.2928041,2.720699,1.8442665
11,9.060325,0.28434613,1.7667403,2.0531242,6.804857,0.21374774,2.7213054,2.2268445
12,9.29021,0.29601607,1.7667805,1.7444791,8.235567,0.2873382,2.721487,1.9897817
13,7.794692,0.2591634,1.766811,2.0643947,6.151015,0.2105128,2.7213879,1.9743179
14,8.91081,0.2758845,1.7667819,1.8679059,7.5509233,0.2416399,2.7215514,1.9039354
15,7.335731,0.2760258,1.7667753,2.5476682,5.9752564,0.20176244,2.7211862,2.1268442
16,10.721316,0.37884855,1.766755,1.5266416,7.6228023,0.32910126,2.7215338,1.9691732
17,11.393805,0.36179098,1.7667499,1.5054543,8.7088785,0.3239359,2.7215912,2.056158
18,9.79251,0.3240968,1.7667321,1.7624081,8.421987,0.28731313,2.7211962,2.0428617
19,10.553405,0.33791918,1.7666922,1.4820275,10.074789,0.3389513,2.7209718,1.8322246
20,11.159024,0.35744599,1.766673,1.5559785,8.718936,0.32430926,2.720846,2.0042117
21,10.497395,0.31414074,1.7666913,1.6266708,8.360214,0.2723368,2.720974,2.029894
