,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,6.8881207,0.06723971,1.9023974,2.0342648,1.5719004,0.016592449,2.7374518,3.528629
1,11.116158,0.065676264,1.9024166,1.3745213,3.465353,0.016330158,2.7374725,2.4660583
2,8.642451,0.06577162,1.9024287,1.9204392,3.1922517,0.016229315,2.7374663,2.317576
3,9.706577,0.06724962,1.9024348,1.5707884,2.4398468,0.01685914,2.7374926,2.8533087
4,7.2629647,0.06540282,1.9024249,1.8159028,1.4970158,0.015878782,2.7374961,3.0058694
5,7.850208,0.06302456,1.9024503,2.0240905,2.1647184,0.015163535,2.737483,3.101689
6,8.770121,0.0653428,1.9024546,1.8108139,2.6145277,0.015999233,2.737507,2.6854136
7,8.042363,0.06602073,1.9024615,2.0361602,2.242125,0.016207417,2.7374794,2.673626
8,7.3595786,0.06661713,1.9024521,2.1471944,1.6912899,0.016385186,2.7374847,3.373759
9,9.971025,0.06533442,1.9024522,1.6899257,2.4388857,0.016021114,2.7375128,3.019203
10,8.120093,0.06619886,1.9024392,1.9849943,2.2936952,0.016193707,2.737506,2.7533717
11,9.22749,0.06609228,1.9024352,1.8953162,2.5713582,0.016040582,2.7375088,2.9109356
12,8.351296,0.064497896,1.9024317,2.0079422,2.2802644,0.015194325,2.7375267,2.7018065
13,7.4779634,0.06586346,1.9024442,1.8546875,1.1097924,0.016355783,2.7375295,3.8913224
14,9.6725645,0.065063044,1.9024572,1.7922319,2.2495959,0.015714368,2.7375233,3.0516522
15,7.193248,0.064732015,1.9024591,1.819457,0.5630499,0.01574252,2.737526,4.3375473
16,7.4267726,0.06384897,1.9024497,2.0790453,1.5365715,0.0154816685,2.7375216,3.1793506
17,7.687004,0.0653637,1.902439,1.9479603,1.8761145,0.015814284,2.737496,2.9063728
18,7.6085515,0.0632305,1.9024358,2.1788914,2.618178,0.015181735,2.7375152,2.5197043
19,9.614683,0.06464284,1.9024287,1.6512754,2.93031,0.015640166,2.7374988,2.6419597
20,11.45234,0.068137646,1.9024278,1.3332776,2.9916975,0.016957585,2.7375183,2.3243046
21,6.6646976,0.06425504,1.9024366,1.8412036,0.74202615,0.015626088,2.7375076,3.6850085
