,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,9.856937,0.16044518,1.9191568,1.6591442,2.9884996,0.06138722,2.5623262,1.9025949
1,9.727286,0.1601879,1.9192083,1.7714847,2.9771132,0.06089937,2.5622647,2.1045036
2,11.494213,0.15739627,1.9191688,1.4263426,3.886696,0.060537647,2.5622277,1.7793356
3,10.493841,0.15575968,1.91915,1.6659794,3.0670116,0.05834635,2.5624278,1.9753124
4,10.34846,0.1562456,1.9192488,1.522545,3.5757508,0.059252955,2.56214,1.8561817
5,10.047711,0.15975505,1.9192135,1.7313837,2.8455036,0.059798516,2.5620422,1.9130784
6,6.925896,0.15655899,1.9192384,2.1435323,2.0175164,0.057882775,2.5622046,2.2494678
7,9.674402,0.15946494,1.9192501,1.8533164,3.2823966,0.061732627,2.5620492,1.9369267
8,11.076322,0.1619298,1.919231,1.5088335,2.9489853,0.061158396,2.5620022,2.0078917
9,8.75921,0.16270745,1.919272,1.839394,2.8338299,0.062441457,2.5620377,2.0588427
10,8.306077,0.15773623,1.9193231,1.9951292,3.1402228,0.060539406,2.5620308,2.1666462
11,8.943669,0.15919596,1.9193159,1.9664809,3.5794265,0.06029004,2.5622382,1.9790431
12,8.623461,0.15728319,1.9193543,2.0345228,3.3251739,0.06078769,2.5622787,1.810076
13,6.909719,0.16027224,1.9193602,2.2285538,3.1150465,0.06188166,2.562429,2.1443725
14,6.680509,0.15818115,1.919377,2.2675352,2.8475778,0.060477685,2.5625987,1.9958781
15,8.127209,0.15748782,1.9193574,2.0102618,3.2380004,0.06112192,2.562772,1.99623
16,9.775051,0.15783852,1.919432,1.8094759,3.2618692,0.059854228,2.5626514,1.9569623
17,11.733731,0.1620551,1.9194134,1.4591236,2.8049347,0.06197828,2.562756,1.9233643
18,9.924677,0.1584939,1.9193878,1.6201081,3.5540042,0.06119755,2.5625472,1.885013
19,11.241916,0.16358502,1.9193921,1.500377,3.7098067,0.0631627,2.5627105,1.7624192
20,8.120653,0.16174705,1.9193342,1.9722707,2.8738284,0.061222434,2.562808,2.0177224
21,9.27111,0.15856381,1.9194193,1.8053688,3.523781,0.06064876,2.5631807,1.926713
22,9.604449,0.15876605,1.9195012,1.7408184,2.5945258,0.060934924,2.5633328,1.9830273
23,9.744748,0.16229944,1.9195001,1.8013723,3.7027235,0.06287156,2.5635374,1.9632207
24,10.455198,0.16061102,1.91956,1.6159039,3.5883617,0.061480474,2.563405,1.7401242
25,9.736861,0.15897472,1.9196054,1.8171347,3.2991984,0.062206436,2.5632286,1.9779546
26,7.78264,0.16014038,1.9196637,2.1152537,2.3588388,0.063106075,2.5633667,2.183838
27,10.877426,0.15849695,1.9196633,1.5209168,3.2704787,0.06164835,2.5633636,1.7699374
28,8.187357,0.16285923,1.9196296,2.1630933,2.5252185,0.06547587,2.5632987,2.0801213
29,8.50038,0.15943548,1.9197425,1.8085563,3.2899132,0.064231746,2.563381,2.0143135
30,6.333875,0.15698436,1.91966,2.3385575,1.9890585,0.061113108,2.563316,2.5073385
31,7.2908573,0.158277,1.9196405,2.1936252,2.4162016,0.062283747,2.5633843,2.2780108
32,9.003657,0.15735011,1.9196159,1.8515927,3.2839859,0.06150631,2.5634208,2.0185583
33,7.950772,0.16103105,1.9195691,2.0494964,3.076234,0.064304225,2.563658,1.9810063
34,11.696957,0.16052952,1.9195571,1.4353039,3.9029794,0.06356943,2.5637746,1.7087036
35,8.08624,0.15796502,1.9196279,2.011713,2.7098804,0.06294257,2.563501,2.0519526
36,7.543996,0.16024217,1.9195879,2.049783,2.115419,0.06400891,2.5636015,2.0621872
37,9.297182,0.15982586,1.9195598,1.7754794,3.3352027,0.06298204,2.5637825,1.9430108
38,10.211103,0.15738258,1.9195557,1.6321621,3.7400618,0.06351892,2.5639052,1.9230067
39,7.839378,0.16135767,1.9195341,2.1436038,2.7368016,0.0634676,2.5638032,2.170616
40,9.596867,0.15718608,1.9196635,1.7753202,3.5535026,0.061975934,2.563539,1.8187517
41,7.7467537,0.15897003,1.9197038,2.2871087,2.880938,0.06558804,2.5637755,2.0778275
42,8.181966,0.15885614,1.9197936,2.0314796,2.885687,0.06535177,2.5637681,2.136964
43,11.374826,0.16335514,1.9199028,1.3888509,4.0199294,0.065665886,2.5639348,1.6602359
44,9.353158,0.16038595,1.9199755,1.8633281,3.86645,0.06534578,2.5641255,1.9152658
45,8.757523,0.15817663,1.920024,2.1113224,3.446581,0.06503645,2.5643556,1.9145073
46,9.539102,0.16004841,1.9200053,1.7235109,3.1417158,0.064443804,2.5644495,2.0837095
47,11.531649,0.16385601,1.9201398,1.4128823,3.6855605,0.067578554,2.564662,1.7493086
48,10.136124,0.16004577,1.920092,1.7685872,2.6272414,0.064195745,2.5645947,2.012213
49,9.177669,0.16161849,1.9201417,2.0330827,3.246824,0.06592075,2.5646715,1.9851171
50,7.457508,0.15806986,1.9201999,2.291497,3.390869,0.065059945,2.5646818,2.0982537
51,7.1918907,0.16337287,1.9200968,2.2237496,2.5227993,0.069020055,2.5647905,2.142082
52,8.1983595,0.1597353,1.9200188,2.0425498,3.4764304,0.06711461,2.5643997,1.9450536
53,8.696931,0.15906937,1.9200159,1.9122484,3.4501743,0.067177534,2.5647068,1.9489534
54,9.724255,0.16252272,1.9203211,1.8425119,3.6787944,0.0683936,2.5651743,1.9906455
55,8.188188,0.15681985,1.9202697,1.986562,2.7723544,0.06650856,2.5645423,1.9991168
56,6.263451,0.15878883,1.920294,2.2111032,2.0770614,0.068113014,2.564728,2.2867086
57,10.852981,0.16700359,1.9206768,1.4645374,2.454789,0.07133599,2.5646443,2.1185374
58,6.615015,0.16253296,1.9204462,2.4564,2.4624496,0.06973881,2.5647936,2.2563522
59,10.007414,0.16100763,1.9204298,1.7284118,2.6274827,0.07067733,2.5648408,1.9477421
60,9.129456,0.15950102,1.920637,1.8723823,3.3864236,0.06932748,2.5648334,2.0059426
61,8.497038,0.16246295,1.9205954,1.9215393,2.5828729,0.068183385,2.5646834,2.1436183
62,7.082202,0.161707,1.9206903,1.8068781,1.9052855,0.07159605,2.56518,2.325462
63,8.933172,0.16201574,1.9208102,1.800412,2.835223,0.07134243,2.5654395,2.0995407
64,9.589046,0.16302572,1.9207398,1.7759485,3.866294,0.072756425,2.5651436,1.8688159
65,7.751482,0.15901981,1.9207778,2.2212713,2.4917042,0.070425734,2.5654218,2.0318573
66,9.018118,0.15926221,1.920972,1.6518629,2.1077569,0.07040374,2.5655837,2.1232755
67,8.555204,0.16424729,1.9209905,1.9700787,3.5415266,0.07363792,2.5654526,1.9693071
68,7.2419696,0.16311838,1.9210452,2.3612702,2.77121,0.07441744,2.5654051,2.1318526
69,7.8086815,0.16489382,1.9211748,1.7330227,1.9954576,0.0758165,2.565968,2.014347
70,8.616949,0.16752134,1.9213753,1.9807326,3.5530005,0.07873208,2.5665853,1.927157
71,8.90139,0.16197266,1.9217292,1.9571241,3.059359,0.07452247,2.566656,2.1017745
72,10.244165,0.16450052,1.9218222,1.6682595,3.734825,0.076939255,2.5670035,1.7625875
73,10.406412,0.1657901,1.9219338,1.5979712,3.6420662,0.07500927,2.5670702,1.7563585
74,8.659022,0.16375296,1.9217175,1.8376627,3.399724,0.075772025,2.5667362,1.897842
75,8.91987,0.16445796,1.92174,1.6303703,1.7104483,0.07805793,2.567008,2.361952
76,9.099186,0.16199902,1.9214379,1.9209758,2.9695342,0.07554654,2.5670295,1.9572989
77,10.7310705,0.16597937,1.9215174,1.5250188,3.7374346,0.07867509,2.5670197,1.7686652
78,8.825769,0.16808009,1.9214264,1.9838595,3.0871367,0.08087,2.5671997,2.0993378
79,12.075543,0.16888136,1.9216053,1.3294522,3.9031322,0.079072304,2.56695,1.6600754
80,10.117089,0.16987091,1.9215257,1.7194049,4.103259,0.082019135,2.5671096,1.8561975
81,8.202069,0.16606393,1.9217504,2.184883,3.4059567,0.08089644,2.5665684,2.0035534
82,10.208483,0.16818652,1.921793,1.6714554,3.4031677,0.083484635,2.5657873,1.8760644
83,7.6946707,0.16564097,1.922005,2.040618,3.1160088,0.08313702,2.5667946,1.9989272
84,9.594236,0.16782723,1.9223273,1.633562,3.1832178,0.08388434,2.5674329,2.014367
85,9.627345,0.17031385,1.9229912,1.6740518,3.8031538,0.08823955,2.5661688,1.8707747
86,6.6290827,0.16720635,1.9229448,1.9319279,2.0270917,0.08745984,2.566198,2.3082612
