,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,8.997138,0.32560676,1.8906926,1.7181486,7.0895734,0.2623892,2.7060742,1.9097004
1,8.728151,0.29446408,1.8906748,1.8266437,6.121474,0.2422163,2.7057824,1.9236723
2,8.707121,0.30383697,1.8906807,1.9942979,5.1003675,0.21893926,2.7056816,2.0760353
3,8.210564,0.2532269,1.8906966,2.0856795,6.9003797,0.21893235,2.705821,1.8042194
4,8.895836,0.2852949,1.8907235,1.9229752,6.817965,0.24671534,2.705572,1.9147012
5,9.04718,0.27053434,1.8907069,1.6092389,5.705683,0.19981684,2.7057393,2.0731974
6,8.112739,0.26141894,1.8907316,2.1436744,6.154608,0.20427933,2.7056806,2.023087
7,8.112337,0.24585202,1.8907373,1.6736984,7.263024,0.23547415,2.7056434,1.834212
8,8.025782,0.2522699,1.8907335,1.923888,6.5260763,0.2206796,2.7055414,1.8923882
9,9.147526,0.25558996,1.8906882,1.820756,5.8629813,0.20773654,2.7056584,1.9851334
10,8.623727,0.28084838,1.8907124,1.8153235,6.532388,0.2522957,2.7059598,1.8790226
11,8.933421,0.29027778,1.8907413,1.9392369,6.2686753,0.235431,2.7056522,2.096604
12,9.732304,0.3065826,1.8907256,1.6423911,6.824715,0.2695919,2.705702,1.8593538
13,9.595854,0.3775814,1.8907175,1.5254146,8.1374,0.31667876,2.7058008,1.9458376
14,6.675909,0.22387043,1.8907193,1.8441049,6.52872,0.2056377,2.7058282,1.8517702
15,8.79137,0.27070904,1.8907806,1.7356628,6.2358413,0.22469878,2.7059038,1.9176077
16,7.785859,0.24782394,1.8908045,1.9240174,5.6957784,0.2223883,2.705975,2.0194142
17,9.7075405,0.26729468,1.8908143,1.5966164,6.962194,0.263567,2.7057056,1.9663634
18,7.334893,0.23934613,1.8908138,2.1766515,5.754357,0.20433453,2.7056172,1.9356683
19,9.462953,0.37509403,1.8908229,1.535006,7.0717216,0.28618228,2.7056613,2.004139
20,9.381444,0.33343828,1.8908033,1.7548593,7.51345,0.30458584,2.7057247,1.8399329
21,8.550461,0.32686022,1.8908042,1.9378861,6.397415,0.2540754,2.7056334,2.14308
22,5.6679196,0.20360687,1.8908126,1.9338561,4.1666856,0.15413304,2.7059028,1.9139647
23,7.27824,0.22363387,1.8908268,2.145616,5.140526,0.19134459,2.705958,1.9292363
24,10.437114,0.2992567,1.8908193,1.5284761,6.8772616,0.25705454,2.7059624,2.04129
25,10.201276,0.28541946,1.8908175,1.6016653,6.308055,0.22926068,2.7058346,2.130545
26,6.843035,0.22716786,1.8908228,1.8298765,5.1449842,0.18146542,2.705739,2.0395267
27,10.038461,0.3411295,1.8908502,1.5660219,7.8585196,0.29549628,2.7057164,2.0009656
28,10.115625,0.31440434,1.8908615,1.6224197,6.634311,0.29060057,2.705716,1.8709861
29,8.333798,0.27419543,1.8908935,1.8315979,7.9646497,0.267134,2.7056446,1.8721628
30,8.162607,0.26061353,1.8908492,1.8360666,5.7851987,0.22920492,2.7053635,1.9981282
31,8.740774,0.31333116,1.890855,1.9248106,6.037906,0.25727612,2.7055714,1.9810107
32,7.7966356,0.2611633,1.8908463,2.307464,5.1537004,0.20172663,2.705437,1.9084437
33,7.1915703,0.23327287,1.8908275,2.084369,5.4520764,0.19554222,2.705491,1.8500723
34,10.058337,0.2892566,1.8907799,1.6759447,7.4112782,0.2578764,2.7054126,1.9939108
35,8.671418,0.26548517,1.8907808,1.8328615,8.448334,0.23776801,2.70512,2.0056405
36,7.4606924,0.23585685,1.8907788,1.7464358,6.908041,0.20740902,2.7053683,1.8525786
37,7.368282,0.2307991,1.8907821,1.7933658,7.0105467,0.22678408,2.7056088,1.8378645
38,8.778772,0.29275173,1.8907813,1.7634245,6.5516133,0.23679289,2.7055926,1.9642555
39,7.3844,0.25510702,1.8908329,2.0610588,5.9308248,0.22475226,2.7054598,1.888376
40,9.800337,0.34265637,1.8908808,1.6222736,7.012199,0.2875319,2.705508,2.0104651
41,10.214833,0.30795783,1.8908584,1.6084082,7.24806,0.24465518,2.7055533,1.936182
42,4.5079265,0.19296722,1.8908751,1.8592925,3.9803934,0.1451406,2.705323,2.0716474
43,10.858059,0.36197606,1.8908881,1.52222,7.979324,0.3088056,2.7054963,1.9206847
44,10.0909195,0.34432316,1.8908774,1.6464016,7.477026,0.27364096,2.7055354,2.0485463
45,9.7364,0.28057647,1.8909203,1.6009076,6.856864,0.24602643,2.7054565,1.8330705
46,8.331541,0.27818638,1.8909497,1.9952829,6.6566644,0.25080734,2.7053046,1.9180769
47,8.624864,0.2814933,1.890941,1.9120842,6.2030263,0.22747481,2.7052152,2.066393
48,7.245861,0.24841107,1.8909858,2.0884771,5.5313277,0.21818487,2.7052894,1.8549626
49,8.55687,0.2676551,1.8909637,1.8954061,5.555155,0.2305021,2.7052107,1.9474897
50,9.010308,0.3027901,1.8909364,1.8564674,5.7820377,0.24114461,2.7051961,2.0239005
51,9.147605,0.2872294,1.8909107,1.8459529,7.02543,0.23611586,2.7052705,1.9421688
52,8.475786,0.24766348,1.890879,1.8494273,5.323075,0.20039198,2.7052433,1.9709126
53,6.9104934,0.23542027,1.8908769,2.16812,5.209232,0.19653594,2.7052622,1.8827838
54,7.082216,0.22871101,1.8908899,1.7647251,6.5293813,0.21083668,2.7052677,1.7242277
55,7.321201,0.23592342,1.8908681,1.774767,6.608619,0.22201017,2.7055686,1.9075212
56,8.85976,0.26312378,1.8908304,1.5706599,7.2836165,0.25692275,2.7057352,1.8698645
57,8.932629,0.3013157,1.8908749,1.7797413,5.8603745,0.24982476,2.7053976,1.9638176
58,9.16672,0.26901814,1.8908769,1.5378395,7.7302074,0.24369514,2.7051768,1.9015251
59,9.320482,0.30914786,1.8908757,1.6378651,7.485541,0.3077246,2.7051363,1.8388189
60,8.444145,0.2986568,1.8908896,2.0514631,6.384461,0.23595619,2.7054696,1.985362
61,7.3851886,0.25578168,1.8909018,2.1894398,5.9760747,0.21220168,2.705536,1.8957871
62,7.199375,0.2336625,1.8908927,1.7965801,7.0201387,0.2119331,2.705467,1.9709319
63,7.251367,0.2421124,1.8908838,2.0067616,6.683463,0.22573483,2.7054436,1.8829312
64,7.6787615,0.25255483,1.8908763,2.1290498,5.5949116,0.22688432,2.7055297,1.9876691
65,7.9198346,0.29067403,1.8908905,2.1279552,5.6850104,0.21992245,2.7055316,1.9746304
66,6.8533177,0.25296825,1.8908885,2.454348,5.5623207,0.20358483,2.7051663,2.0070508
67,9.188748,0.2984756,1.8909127,1.7728053,6.0062594,0.24547318,2.705031,2.000013
68,8.940256,0.28191003,1.890927,1.9085478,6.1397524,0.23257358,2.7048147,2.091569
69,9.311294,0.29651085,1.8909413,1.7067959,5.687578,0.23071472,2.7048023,2.0552893
70,9.422702,0.30572602,1.8909112,1.771173,6.26812,0.24076872,2.7047803,2.0078895
71,6.290272,0.21079975,1.8908964,1.9053007,4.6185126,0.16771331,2.704803,2.070321
72,8.918721,0.31206974,1.8908767,2.1204784,5.914842,0.2408345,2.704787,1.913399
73,5.9444895,0.22710173,1.8908826,2.47633,4.3376493,0.17143697,2.7044876,2.079452
74,9.003799,0.31042206,1.8908648,1.7568964,6.566062,0.27473482,2.7044413,1.8425835
75,8.207387,0.31031674,1.8908209,2.0147495,6.61116,0.24390897,2.704249,2.019533
76,7.665734,0.252368,1.890815,1.6831726,5.907857,0.21291804,2.7042074,1.8249713
77,9.441547,0.34518796,1.8908266,1.6798819,7.302378,0.26684198,2.7041168,2.0583746
78,10.298694,0.36452764,1.8908157,1.4869002,8.310897,0.30479348,2.703893,1.9945006
79,8.310662,0.2635699,1.8908463,1.9925971,6.2300725,0.20673935,2.7040308,1.9003953
80,8.506002,0.2550857,1.8908123,1.8833419,7.027028,0.22368202,2.704023,2.002512
81,9.073104,0.30021265,1.890759,1.8060591,5.9182425,0.2427103,2.7037437,1.9728789
82,10.796014,0.3323121,1.8907712,1.5255456,7.3263135,0.28969705,2.7034783,1.971118
83,8.903125,0.27331173,1.8907981,1.7647961,5.942643,0.21812637,2.7038178,2.0365996
84,9.712684,0.33593562,1.8907998,1.8848851,7.4265084,0.25974745,2.7040312,1.9238559
85,8.65264,0.29730988,1.8908272,1.8657272,6.479648,0.25593483,2.7042418,1.8389155
86,8.988782,0.33948335,1.8908546,1.8143855,6.93355,0.26176396,2.7045722,2.0936317
87,9.109698,0.27138406,1.8908764,1.6756958,6.518546,0.26118332,2.704708,1.9210715
88,7.8392134,0.2767642,1.8908393,2.0267224,5.9490275,0.23147133,2.70492,1.9019651
89,10.472319,0.29868424,1.8908738,1.6147074,6.2617702,0.26078042,2.7051244,1.856078
90,8.073981,0.28350598,1.8908765,2.093764,6.303916,0.21058159,2.7052407,1.972476
91,8.109087,0.25389716,1.8908843,1.6441876,5.8855186,0.20862727,2.7052934,1.9438531
92,7.952943,0.26681706,1.8909072,1.8056978,5.4555445,0.21359167,2.705251,2.0350835
93,11.0078535,0.33169562,1.8909183,1.6123352,8.226525,0.28888756,2.7052906,1.8714868
94,9.642051,0.28890255,1.890887,1.6729722,7.5015316,0.27719268,2.704985,1.9031975
95,7.8041434,0.2657574,1.8908869,2.057728,6.114096,0.2313143,2.705051,1.8964375
96,7.919881,0.26844683,1.8908839,1.9849969,5.864278,0.21366832,2.7051992,2.0695608
97,8.80382,0.28041288,1.8909466,1.8432451,7.221625,0.23255531,2.7051494,1.8966328
98,7.8908257,0.24352258,1.8909552,1.7190661,7.175689,0.23216626,2.7051835,1.9563668
99,10.614758,0.29071316,1.8909696,1.5688238,8.409701,0.26890865,2.705364,1.9575467
100,5.181077,0.19930936,1.8909808,1.9377123,5.57093,0.16493423,2.7053008,1.9195288
101,9.78175,0.31317604,1.8909976,1.6358918,7.165089,0.272724,2.7052238,1.8635886
102,9.645868,0.29836613,1.8910223,1.628194,6.9625583,0.25862938,2.7050734,1.8233637
103,8.782219,0.30496755,1.8910658,1.7256143,6.34987,0.2665551,2.704993,2.0447602
104,8.262507,0.3023686,1.8910668,1.8867444,5.8699307,0.22658892,2.7049603,2.0902486
105,9.662881,0.29048166,1.891057,1.6566566,6.3722997,0.25446168,2.7048318,2.0792577
106,8.086559,0.26888007,1.8910774,1.9816625,6.777253,0.22720408,2.7049637,2.034334
107,9.914043,0.34496668,1.8910637,1.5522834,7.3810754,0.31745094,2.7048273,1.9964263
108,8.3890915,0.24898778,1.8910881,1.6187751,8.023979,0.2746041,2.7047324,1.8492117
109,10.257343,0.35483736,1.8910341,1.4121032,7.0924435,0.2851099,2.70499,2.1415508
110,8.54207,0.32326418,1.8910781,1.8694834,6.3402643,0.25534478,2.704993,1.9306742
111,8.158689,0.31629008,1.8910749,1.9521861,5.654741,0.23653185,2.7047431,2.1815248
112,10.539753,0.3481208,1.8911296,1.4563462,6.8053827,0.28654593,2.7049673,2.0053937
113,8.315008,0.25848892,1.8911508,1.8232005,5.6563077,0.21017642,2.705088,1.9215003
114,8.069376,0.30773735,1.8910978,2.057007,6.162082,0.2400039,2.7049305,2.1629336
115,6.7628026,0.24851574,1.8911338,2.2796476,5.3941407,0.22354451,2.7046418,2.1371686
116,7.5919056,0.22185114,1.8911471,1.9924548,5.8223467,0.20032927,2.704644,2.0756993
117,8.475766,0.32533866,1.8911774,1.9377944,5.627417,0.24120817,2.7044463,2.1408675
118,9.144581,0.31321844,1.8911874,1.7643386,5.200292,0.231674,2.704084,2.080569
119,8.50597,0.28975624,1.8911928,1.811311,6.871087,0.23816223,2.704506,2.060332
120,7.886649,0.26592678,1.8912243,1.8966796,6.589947,0.24001901,2.7041523,1.9858593
121,8.487294,0.2560417,1.8913126,1.810593,6.3551636,0.21833949,2.7036927,1.9293257
122,10.58974,0.3829669,1.891328,1.4393569,8.148684,0.33219963,2.7037683,2.0039728
123,10.834497,0.36164415,1.891243,1.4062554,8.419504,0.31669655,2.7041166,1.8974813
124,9.142164,0.30169636,1.8912462,1.7645006,6.7897744,0.25767142,2.7043633,1.9361951
125,10.972176,0.30121404,1.8912233,1.4264625,7.745816,0.280762,2.7045317,2.017145
126,9.95383,0.30831558,1.8912165,1.8369405,7.3537674,0.2719791,2.7048156,1.9118073
127,8.4307,0.27872804,1.8912225,1.9730486,5.4192367,0.21104097,2.704817,2.2588153
128,9.00517,0.30878547,1.8912272,1.7547827,6.6293497,0.27304405,2.704961,1.9736744
129,8.377718,0.30517656,1.8911963,1.9953214,6.8685627,0.24195866,2.7048583,2.0614476
130,8.355948,0.2985552,1.8912299,2.0881763,5.7368994,0.21699381,2.704862,2.0116096
131,9.765317,0.32822204,1.8912421,1.7349296,7.1965537,0.2676948,2.7049942,1.9307517
132,9.033514,0.3032457,1.8912022,1.7385893,6.4204793,0.2540217,2.7049646,1.9114118
133,8.716513,0.26980236,1.8911972,1.7968485,7.395916,0.23894906,2.7054148,2.0663543
134,11.625555,0.42233816,1.8912542,1.2789588,8.107912,0.35338277,2.7055945,1.9418668
135,7.3964615,0.23529086,1.8912467,1.7404882,6.348963,0.2219713,2.7053497,1.9076905
136,9.62082,0.27348122,1.891293,1.7089194,7.362482,0.24471846,2.705617,1.8227106
137,10.284594,0.33471978,1.8913187,1.4195355,8.333297,0.29958072,2.7054534,1.8765696
138,8.540308,0.26333022,1.8913394,1.862919,6.0500374,0.21392827,2.7061765,2.0031352
139,7.687381,0.25896767,1.8913867,2.0170426,4.5648184,0.1995384,2.7063122,2.012746
140,10.416267,0.39415127,1.8913612,1.4614775,9.379604,0.33583084,2.7063234,1.8619719
141,8.443265,0.2577147,1.891333,1.8851455,7.1131167,0.23933093,2.7058296,1.8491801
142,7.8742075,0.27684718,1.891363,2.2753747,5.3962903,0.20134386,2.7055736,2.1315382
143,8.346663,0.2709647,1.891412,2.0071783,6.3051453,0.21458218,2.7052007,1.8546811
144,7.740859,0.25902328,1.8913641,2.1716943,6.0705533,0.21780255,2.7051017,1.9141476
145,7.5927525,0.23207554,1.8913348,2.0113099,5.8779945,0.20189615,2.7050974,2.0582733
146,9.081312,0.2853112,1.8913097,1.7054707,6.8302584,0.25279137,2.705197,1.9542935
147,10.518998,0.32463437,1.8913498,1.5186461,7.740444,0.29829854,2.7055387,1.9783548
148,8.624921,0.28469905,1.8913623,1.7830647,6.502066,0.22156222,2.705858,1.9505578
149,8.241403,0.2764654,1.8914483,1.9019799,6.078495,0.22980618,2.7057924,2.0170796
150,8.085842,0.26505297,1.8913969,2.071477,6.5584683,0.22408001,2.7057438,1.9021931
151,7.862866,0.30684188,1.8913813,2.0133252,6.7595544,0.24148509,2.7055116,2.0224812
152,11.085288,0.3109778,1.8913573,1.4796302,7.437872,0.26685384,2.7053137,1.8242166
153,10.346203,0.33632216,1.8913778,1.5422946,8.255688,0.2827714,2.7051728,1.995436
154,9.778969,0.36999163,1.8913959,1.5726266,8.063909,0.31772193,2.7053275,2.0319529
155,9.274611,0.31902796,1.8914638,1.641071,6.3528333,0.24942067,2.7058206,2.161412
156,8.204044,0.26605314,1.8914145,1.9686671,6.2112226,0.2264165,2.7057004,2.012251
157,10.091016,0.34772533,1.8914366,1.5910871,8.922589,0.32670742,2.705748,1.8756036
158,8.851824,0.2741664,1.8914324,1.736165,7.9079633,0.26422292,2.7059536,1.9709052
159,6.1934977,0.22168498,1.8913963,2.3694482,5.3923087,0.17747986,2.7059364,2.026148
160,9.403739,0.32471836,1.8914323,1.7772845,7.287109,0.2765104,2.7062726,2.0029018
161,9.173433,0.31971738,1.8913813,1.6373011,7.598143,0.31850725,2.706306,1.9201169
162,10.289858,0.3047806,1.8913895,1.4645374,9.018041,0.30763233,2.7059476,1.7807415
163,9.605617,0.3145239,1.891392,1.7669128,6.461285,0.26678094,2.7061226,1.991848
164,6.489481,0.21194433,1.8913428,1.8434317,5.650722,0.18510477,2.706236,1.948098
165,10.836737,0.3704722,1.8913149,1.4523207,7.358198,0.307968,2.706129,1.8061471
166,8.438143,0.27762708,1.8913364,1.9176676,6.110816,0.23025036,2.706007,1.9810845
167,9.765847,0.29046112,1.8913426,1.5867372,6.8430967,0.2609807,2.7061644,1.8681115
168,6.842304,0.24131742,1.8914281,2.3195744,3.9316583,0.15610567,2.7062144,2.0975685
169,8.718555,0.29305884,1.8914844,2.037874,6.470397,0.23000085,2.7060995,2.1666996
170,7.109499,0.23275943,1.8915251,2.166634,5.0167923,0.18361156,2.7060902,2.0453324
171,9.994006,0.34016305,1.8915666,1.5967461,7.3244114,0.26018468,2.7060995,1.932907
172,9.626936,0.30736256,1.8915129,1.6645424,5.9459624,0.2489374,2.7060187,1.8607671
173,7.6257544,0.23905541,1.8915454,1.7110641,6.285909,0.20905153,2.7058995,2.0181346
174,6.045312,0.21987224,1.8915576,2.2049618,5.269301,0.17463261,2.7061794,2.0942676
175,9.36221,0.2883595,1.8915466,1.6859123,6.7097087,0.23407376,2.7064457,2.0250125
176,8.581578,0.27828407,1.8915099,1.9195123,5.8515406,0.23937249,2.7064493,1.9685829
177,7.900249,0.24011332,1.8914894,1.9124042,5.9711633,0.20227127,2.706663,2.0345361
178,7.6144648,0.2541405,1.8915061,2.333958,5.3946486,0.19591491,2.7065322,1.8978001
179,7.6195817,0.2450151,1.8914521,2.02677,4.8832593,0.18164878,2.7065673,2.0210812
180,8.120322,0.2543169,1.8915219,1.9437232,6.5109935,0.22559874,2.706215,1.9795066
181,6.207991,0.21385483,1.8915503,1.881945,5.2627196,0.17326309,2.706373,1.8697436
182,10.147712,0.3137827,1.8915659,1.544345,7.2873755,0.27545965,2.706457,1.8872874
183,9.233552,0.33585107,1.89152,1.6797354,6.9327855,0.25989807,2.705955,1.9293674
184,10.455196,0.37535846,1.8914559,1.43048,7.5511813,0.31415248,2.7056367,2.0580306
185,7.7357965,0.25246096,1.8914548,1.9539081,6.146984,0.23514497,2.705676,1.9725317
186,7.115135,0.25255635,1.8914503,2.3351533,4.632853,0.17754717,2.705794,2.1183596
187,7.854357,0.25247896,1.8914622,1.6994201,6.58276,0.23944613,2.7058399,1.8431244
188,10.435815,0.3463285,1.8914618,1.5811559,8.5109,0.31118453,2.705714,1.8236164
189,7.584088,0.23994796,1.8914634,2.1247442,4.5640316,0.17857996,2.7056382,2.0564153
190,7.2425957,0.23673782,1.8914994,1.7622548,5.179017,0.19149677,2.7059555,1.9142827
191,8.458645,0.3310485,1.8916074,1.8438518,8.303275,0.2414989,2.706164,1.9823486
192,9.246914,0.27242088,1.891579,1.7158263,6.619724,0.2455672,2.7063181,2.0212927
193,8.278425,0.26694617,1.8915409,2.0450583,6.023678,0.2254674,2.7060013,1.9710896
194,9.327449,0.27162597,1.8915455,1.5298611,7.9813414,0.2688375,2.706006,1.8413426
195,6.6668825,0.222773,1.8915415,2.0792925,5.0844946,0.18742356,2.7058196,1.9103781
196,8.498352,0.30963948,1.8915081,2.0249312,6.703487,0.25221643,2.706021,1.9903365
197,8.962082,0.2904571,1.8914611,1.6967783,9.687801,0.2924207,2.7058084,1.9186819
198,8.233957,0.28849167,1.8915085,2.2118974,5.43215,0.20369634,2.7057512,2.1382134
199,9.459625,0.33109447,1.8914828,1.6933819,6.29711,0.26665166,2.7058222,1.920259
200,7.8772626,0.29097682,1.8914605,2.2045858,6.1213183,0.2393467,2.7056463,1.9880519
201,9.180951,0.28900498,1.8914337,1.7639582,6.7262845,0.25000203,2.7055354,1.9487362
202,8.559905,0.29370075,1.8914247,1.9606459,6.10889,0.2288818,2.7057025,2.0746365
203,7.438688,0.23550695,1.8914407,1.7679242,6.7260528,0.22159132,2.7060876,1.9167795
204,9.866603,0.35652012,1.8914354,1.5825487,8.370754,0.28195196,2.706363,1.8989463
205,8.542656,0.29619482,1.8914006,1.8134645,5.9571285,0.22214516,2.7066658,2.0477242
206,7.2216153,0.26779148,1.8913509,2.3193839,4.9100137,0.20049946,2.7068045,2.066553
207,8.09329,0.24671507,1.8912843,1.705822,8.590253,0.2618813,2.7069683,1.8256345
208,8.505156,0.2681105,1.8913016,1.918733,6.76312,0.25176758,2.7071552,1.9366846
209,9.593918,0.33382037,1.8913821,1.6515528,6.879849,0.2844757,2.7071915,2.0376573
210,8.438831,0.27511546,1.8914578,1.9766073,6.606024,0.2277405,2.7072704,1.9945258
211,8.532229,0.24589488,1.8915113,1.6484538,8.085992,0.24946523,2.7072024,1.8595333
212,9.816003,0.28846174,1.891546,1.6177564,5.640134,0.23399484,2.707361,2.028472
213,6.86419,0.24003881,1.8915297,2.3654342,4.5518036,0.1781957,2.7072587,2.2974124
214,8.236117,0.2969776,1.8915818,2.011943,7.310624,0.24476233,2.7075112,2.119967
215,9.486366,0.32695857,1.8915654,1.6830379,7.3072357,0.30922818,2.707442,1.865261
216,9.944973,0.32242367,1.8915526,1.5718645,7.335468,0.28734687,2.707481,1.8698202
217,6.97071,0.22705895,1.8915428,1.814361,5.6233387,0.18677542,2.7076395,1.9246844
218,8.632411,0.26841342,1.8915377,1.9258496,5.0594063,0.20114747,2.7075286,1.7906992
219,6.1637206,0.20614004,1.891587,2.0247462,4.5827465,0.16332787,2.7077277,1.9783589
220,8.603312,0.30236465,1.8916093,1.9715668,7.0047755,0.24921593,2.7076826,1.9125849
221,7.9588203,0.27673683,1.891631,1.8816121,5.399636,0.20505679,2.7079349,1.994893
222,8.558299,0.2691021,1.8916557,1.8344128,6.422068,0.23123232,2.7074041,1.9280099
