,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,7.6340804,0.26525122,1.8387089,2.2409916,4.860299,0.1950251,2.74693,1.8605593
1,7.4993253,0.24572521,1.8386472,2.0313213,5.0595503,0.19958642,2.7469475,1.7095528
2,10.385316,0.30936214,1.8386954,1.4606647,5.5675173,0.24660876,2.7468731,1.5863984
3,8.283664,0.29057124,1.8386633,1.8737174,5.045842,0.21763429,2.7469854,1.7238886
4,9.08589,0.26440027,1.8386928,1.633584,5.7646756,0.21604271,2.7470891,1.6122789
5,9.906086,0.30119017,1.8386757,1.6664445,5.9316025,0.2565983,2.7470274,1.5629449
6,10.750107,0.31416464,1.8386446,1.4007938,5.7635336,0.24278665,2.74718,1.6539853
7,8.835661,0.27460623,1.8386272,1.7572159,5.5146756,0.20896125,2.7473054,1.7079716
8,9.209288,0.27709544,1.838633,1.7579727,5.62966,0.22885866,2.7473502,1.5957053
9,10.631027,0.3141307,1.838615,1.7602507,5.6164308,0.2224098,2.7473357,1.6848419
10,8.319451,0.27123588,1.8386188,2.1193035,5.5704865,0.21739253,2.7473433,1.6084293
11,7.5787826,0.2541352,1.8386317,2.023587,5.1453805,0.19981511,2.747416,1.781674
12,8.015619,0.27523452,1.8386599,2.0200398,5.236253,0.21514931,2.7475421,1.7095321
13,10.606131,0.31868234,1.8386201,1.530909,5.6403637,0.24020906,2.7471895,1.6376336
14,9.558866,0.31377956,1.8386216,1.6967227,5.3906198,0.23735361,2.7469568,1.7121443
15,8.771897,0.28438663,1.8386092,1.7836323,5.153886,0.2189351,2.7470412,1.7028421
16,10.5671015,0.32946178,1.8386024,1.5642598,5.546975,0.2508549,2.746853,1.6792628
17,8.239288,0.27405417,1.8385609,2.167577,4.9786296,0.20243256,2.7465415,1.7074361
18,10.618879,0.30704033,1.8385254,1.5297896,5.1471148,0.22455998,2.7466905,1.6728181
19,9.688586,0.29964218,1.8385681,1.5631715,5.0212245,0.23983113,2.7464924,1.7305933
