,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,7.5177555,0.22063893,1.7613118,1.7479185,4.5270414,0.16615437,2.674356,2.0356238
1,6.8821177,0.21320367,1.7613406,2.2000139,4.056274,0.1531897,2.6743221,2.0646343
2,8.30431,0.22520472,1.7613305,1.8627956,3.688822,0.15408693,2.6743522,2.3131738
3,9.8586235,0.24752407,1.7613075,1.6321621,4.5052056,0.16389783,2.6744187,1.9783317
4,9.689635,0.26603764,1.7612798,1.6408153,4.0457306,0.18054521,2.6744647,2.1940157
5,11.440827,0.2851133,1.7612758,1.3119017,5.0078382,0.20079534,2.6744509,1.8875643
6,7.7459126,0.21157363,1.7612541,1.9542686,4.1355367,0.14933339,2.674485,2.1493263
7,9.254636,0.25733262,1.761248,1.6387436,4.3704534,0.18542174,2.674429,2.0666206
8,7.791062,0.22215642,1.761265,1.7416826,3.712549,0.14992857,2.6743982,2.0678635
9,10.038053,0.25018048,1.7612877,1.6999376,4.0726986,0.17159396,2.6744192,2.1244717
10,7.8332047,0.25200143,1.7612997,2.2464359,4.1428885,0.15583877,2.674415,2.1706235
11,11.168096,0.24772611,1.761298,1.455015,4.851299,0.19220671,2.674365,1.8907528
12,9.196236,0.2450434,1.761327,1.7053878,3.990022,0.16062944,2.6743472,2.1100037
13,8.801986,0.24851109,1.7613559,1.9012623,4.120663,0.17648618,2.67446,2.1688142
14,7.616593,0.209069,1.761349,1.7732536,3.0159657,0.13313939,2.674466,2.3420084
15,9.956637,0.24198323,1.7613572,1.676274,4.471365,0.17189494,2.6744366,2.0419304
16,8.600441,0.24455349,1.7613629,1.8614392,4.5389977,0.16421264,2.6744955,2.1194637
17,9.3639145,0.24923036,1.7613581,1.8328918,4.4406037,0.18053237,2.6745784,1.9439276
18,8.385644,0.24260218,1.7613714,1.9620448,4.6259127,0.16169696,2.6745899,1.9757029
19,7.397895,0.21841803,1.7613829,2.009486,4.12011,0.14590214,2.674562,2.0827336
20,9.712639,0.2546856,1.7613872,1.6019702,5.137791,0.18220219,2.6744428,1.8546642
21,9.48414,0.26880604,1.7614031,1.7359933,4.5522594,0.17578447,2.6743507,2.1169353
22,9.5401325,0.24095674,1.7614152,1.7382404,4.149413,0.17336336,2.6744056,2.1000226
