,losses,counter
0,2.2936019897460938,0
1,2.3120503425598145,640
2,2.3169338703155518,1280
3,2.3126273155212402,1920
4,2.287196397781372,2560
5,2.2943789958953857,3200
6,2.293980836868286,3840
7,2.322662353515625,4480
8,2.296231985092163,5120
9,2.3133254051208496,5760
10,2.2964203357696533,6400
11,2.301711082458496,7040
12,2.2954742908477783,7680
13,2.304948329925537,8320
14,2.2989754676818848,8960
15,2.3010756969451904,9600
16,2.314617395401001,10240
17,2.305346727371216,10880
18,2.300023317337036,11520
19,2.303579807281494,12160
20,2.290550470352173,12800
21,2.3036959171295166,13440
22,2.2973380088806152,14080
23,2.2760002613067627,14720
24,2.293126106262207,15360
25,2.3128182888031006,16000
26,2.3040270805358887,16640
27,2.290205478668213,17280
28,2.300457239151001,17920
29,2.2969717979431152,18560
30,2.305983304977417,19200
31,2.2865939140319824,19840
32,2.312650442123413,20480
33,2.290973663330078,21120
34,2.3092801570892334,21760
35,2.3033952713012695,22400
36,2.303623914718628,23040
37,2.301793336868286,23680
38,2.310309886932373,24320
39,2.3005118370056152,24960
40,2.2973084449768066,25600
41,2.3004300594329834,26240
42,2.297417163848877,26880
43,2.2904469966888428,27520
44,2.3139004707336426,28160
45,2.2894420623779297,28800
46,2.2986695766448975,29440
47,2.2978525161743164,30080
48,2.291595458984375,30720
49,2.3110218048095703,31360
50,2.3122198581695557,32000
51,2.29731822013855,32640
52,2.3076250553131104,33280
53,2.30582857131958,33920
54,2.307934284210205,34560
55,2.297804355621338,35200
56,2.299710273742676,35840
57,2.310938835144043,36480
58,2.298182487487793,37120
59,2.295438528060913,37760
60,2.3006839752197266,38400
61,2.287174940109253,39040
62,2.3092188835144043,39680
63,2.2866032123565674,40320
64,2.298788070678711,40960
65,2.2903120517730713,41600
66,2.2976796627044678,42240
67,2.2872314453125,42880
68,2.281749725341797,43520
69,2.2928690910339355,44160
70,2.311946153640747,44800
71,2.2970433235168457,45440
72,2.292945146560669,46080
73,2.281966209411621,46720
74,2.295543670654297,47360
75,2.293088674545288,48000
76,2.2970478534698486,48640
77,2.3041436672210693,49280
78,2.305485486984253,49920
79,2.3134970664978027,50560
80,2.317284107208252,51200
81,2.2992355823516846,51840
82,2.299103260040283,52480
83,2.3061203956604004,53120
84,2.2956693172454834,53760
85,2.2802252769470215,54400
86,2.295468330383301,55040
87,2.310507297515869,55680
88,2.2849056720733643,56320
89,2.296227216720581,56960
90,2.2972354888916016,57600
91,2.2846691608428955,58240
92,2.2893686294555664,58880
93,2.3138322830200195,59520
94,2.3001861572265625,60000
95,2.2905845642089844,60640
96,2.3034584522247314,61280
97,2.2989540100097656,61920
98,2.3006882667541504,62560
99,2.2967023849487305,63200
100,2.2749733924865723,63840
101,2.312093734741211,64480
102,2.303234338760376,65120
103,2.2987921237945557,65760
104,2.3099489212036133,66400
105,2.3054039478302,67040
106,2.301687240600586,67680
107,2.300353765487671,68320
108,2.298454761505127,68960
109,2.2958431243896484,69600
110,2.2953290939331055,70240
111,2.293382167816162,70880
112,2.2898640632629395,71520
113,2.3037450313568115,72160
114,2.2952301502227783,72800
115,2.2959790229797363,73440
116,2.2893729209899902,74080
117,2.301851511001587,74720
118,2.3011813163757324,75360
119,2.2988717555999756,76000
120,2.2943382263183594,76640
121,2.2787649631500244,77280
122,2.301640748977661,77920
123,2.2881672382354736,78560
124,2.305724859237671,79200
125,2.3031978607177734,79840
126,2.295356273651123,80480
127,2.299722909927368,81120
128,2.2956197261810303,81760
129,2.2922637462615967,82400
130,2.2880024909973145,83040
131,2.3013415336608887,83680
132,2.302109718322754,84320
133,2.297985553741455,84960
134,2.2906928062438965,85600
135,2.2945339679718018,86240
136,2.310257911682129,86880
137,2.3011553287506104,87520
138,2.2959675788879395,88160
139,2.283038854598999,88800
140,2.302107572555542,89440
141,2.2837655544281006,90080
142,2.2777509689331055,90720
143,2.2849607467651367,91360
144,2.296294927597046,92000
145,2.292964458465576,92640
146,2.2880172729492188,93280
147,2.2817320823669434,93920
148,2.2863495349884033,94560
149,2.291571617126465,95200
150,2.2893893718719482,95840
151,2.2544515132904053,96480
152,2.2799670696258545,97120
153,2.2772319316864014,97760
154,2.288787364959717,98400
155,2.257463216781616,99040
156,2.2584691047668457,99680
157,2.2556374073028564,100320
158,2.2682323455810547,100960
159,2.2559993267059326,101600
160,2.265937328338623,102240
161,2.267242670059204,102880
162,2.2503316402435303,103520
163,2.261317491531372,104160
164,2.238872766494751,104800
165,2.2691595554351807,105440
166,2.209852933883667,106080
167,2.230466604232788,106720
168,2.1876003742218018,107360
169,2.181572914123535,108000
170,2.222115993499756,108640
171,2.1187689304351807,109280
172,2.194911479949951,109920
173,2.0837769508361816,110560
174,2.057845115661621,111200
175,2.108110189437866,111840
176,2.186164617538452,112480
177,2.138676881790161,113120
178,2.07405948638916,113760
179,2.020653009414673,114400
180,2.0308680534362793,115040
181,1.9968154430389404,115680
182,2.114645481109619,116320
183,2.0906424522399902,116960
184,1.9921798706054688,117600
185,1.9081865549087524,118240
186,2.035878896713257,118880
187,1.8474253416061401,119520
