,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,9.450564,0.20944826,1.8032895,1.5320663,7.8314543,0.18515274,2.8008144,2.0582411
1,7.5054436,0.1931769,1.8032943,2.0692205,5.9281955,0.16357262,2.8007598,2.2086606
2,6.565326,0.17617767,1.8033144,1.8766015,5.3574157,0.1327872,2.8006551,2.213331
3,8.149957,0.20980558,1.8033091,1.7909979,6.1347423,0.15507503,2.80038,2.3395126
4,9.69384,0.24078111,1.8033062,1.6026614,6.4098167,0.16502365,2.8006706,2.3898976
5,10.221105,0.23019774,1.8033152,1.6805733,5.3539143,0.16228095,2.8011165,2.399846
6,8.608565,0.22855966,1.803326,2.029451,6.059295,0.15217203,2.801256,2.3369136
7,9.362285,0.24593566,1.8033402,1.878036,7.020064,0.17004053,2.801067,2.3832405
8,8.18311,0.19764628,1.803345,1.9652419,5.504699,0.14496626,2.801276,2.296843
9,7.165519,0.18914479,1.8033067,2.070977,5.457297,0.13559084,2.8016748,2.4088933
10,8.69743,0.21168172,1.8032945,1.8881794,7.187905,0.16692024,2.8013623,2.1941075
11,8.164427,0.19847801,1.8032669,1.9555728,5.9971976,0.15035848,2.8011792,2.354821
12,9.008682,0.21765046,1.8032753,1.7329315,7.5677147,0.18421552,2.801092,2.094079
13,9.2474575,0.22215325,1.8032625,1.8783509,6.777311,0.1606942,2.8009498,2.3620765
14,9.941578,0.23238447,1.8032651,1.6520773,7.0197883,0.16250983,2.8011196,2.130656
15,7.7641053,0.19833808,1.8032703,2.2341404,6.4359436,0.1504684,2.8011692,2.679018
16,9.314901,0.24886873,1.8032918,1.7320075,7.2857203,0.18888733,2.8011608,2.537912
17,9.801319,0.22024554,1.8032689,1.6366345,7.4633484,0.18121158,2.8010297,2.4153178
18,7.5173836,0.21847524,1.803293,2.2414901,5.405405,0.12855518,2.801225,2.6734087
19,8.781773,0.23495236,1.8033048,1.8310225,6.9684,0.17656061,2.8009684,2.2484546
20,7.0673513,0.18248844,1.8033061,1.8576218,4.736074,0.13022618,2.8008313,2.1980612
21,5.533879,0.16474113,1.8033202,1.9715255,4.5967865,0.11866911,2.800949,2.290864
22,10.500414,0.24214612,1.803327,1.5437015,8.035237,0.1890289,2.8008742,2.1897783
23,8.254792,0.21099783,1.8033066,1.949565,7.146225,0.1659812,2.8008072,2.348004
24,9.919868,0.23710753,1.803299,1.7656738,5.426026,0.16052234,2.80076,2.5842693
25,8.454242,0.20446548,1.8032938,1.9584805,5.908332,0.15362827,2.8005064,2.4043872
26,11.809491,0.3080146,1.8033072,1.2760032,9.001063,0.22846206,2.8004787,2.5696747
27,8.560282,0.2467441,1.8033273,1.8741397,5.646853,0.14511456,2.8006682,2.8083012
28,8.533534,0.19897777,1.8033658,1.6108431,4.5156236,0.12848005,2.8007998,2.5124083
29,8.000128,0.20821698,1.8033907,2.1492271,6.9604645,0.15961677,2.8007538,2.121655
30,7.659685,0.20670247,1.8033816,2.1836984,6.0110874,0.15268883,2.8004477,2.3735685
31,9.370917,0.22980839,1.8033924,1.8058637,7.1812754,0.17046447,2.8005025,2.3144414
32,8.18297,0.19926329,1.8033662,2.0003786,4.451833,0.11858325,2.8005145,2.7440069
33,6.4276776,0.17535354,1.8033501,1.9330187,3.997116,0.11207662,2.8006861,2.5587199
34,9.80408,0.27161142,1.8033234,1.5802099,6.3623123,0.19817078,2.8007216,2.33813
35,9.738181,0.24944465,1.8033289,1.6062675,7.362954,0.18837084,2.8007367,2.3065095
36,7.485991,0.21281393,1.8033574,2.353567,5.093727,0.12570243,2.800596,2.677342
37,10.869475,0.2757481,1.803304,1.5065043,7.974258,0.20534913,2.8006666,2.462604
38,10.607787,0.23930734,1.803303,1.57938,7.1574793,0.18374565,2.8005276,2.3215435
39,7.3700094,0.21515979,1.8032774,2.2973313,6.2371264,0.15163302,2.80067,2.2502837
40,6.333498,0.17058872,1.8032856,2.3694482,4.00942,0.10853907,2.8005402,2.4985209
41,9.567085,0.22656345,1.8033155,1.7710601,6.287805,0.16366628,2.8002279,2.3035188
42,9.819586,0.21983877,1.8033353,1.8316438,7.0793757,0.17085555,2.79989,2.214371
43,8.697925,0.22721684,1.8033468,1.8220565,6.3106894,0.15330292,2.7999122,2.439267
44,9.0804615,0.25236797,1.8033465,1.7921307,6.443582,0.16823885,2.799744,2.3811703
45,11.296027,0.28232038,1.8033261,1.4315475,7.1455855,0.20352323,2.7994556,2.502004
46,10.344484,0.23963386,1.8033422,1.625618,8.006951,0.20271556,2.7996125,2.4388561
47,7.027469,0.18227576,1.8033673,1.8500535,4.2070475,0.10475286,2.79974,2.9046762
48,10.435373,0.22574039,1.8033504,1.6251435,5.426705,0.15104695,2.7998905,2.3437257
49,8.81321,0.24774396,1.8033732,1.7794527,6.997965,0.18071689,2.7998564,2.2609837
50,8.076861,0.19644573,1.8033639,1.9813379,6.0288267,0.14925413,2.8004665,2.2790701
51,7.1237426,0.19293697,1.8033639,2.065441,6.1207705,0.15947752,2.8002598,2.328862
52,8.199553,0.21866646,1.8033999,1.9960735,6.1418386,0.15642294,2.8002226,2.5057135
53,9.5575285,0.26948088,1.8033952,1.620435,7.3108635,0.18897578,2.8002126,2.2527204
54,9.882234,0.22538285,1.8034046,1.6268556,9.480802,0.19252981,2.8002284,2.2890923
55,9.029143,0.21987034,1.8034469,1.9391257,6.6252074,0.17396101,2.800401,2.390061
56,8.890969,0.22325979,1.8034451,1.776826,6.1541214,0.15049681,2.8002388,2.348108
57,8.139337,0.19875824,1.8034497,1.6580061,5.512079,0.13347027,2.8001323,2.441263
58,6.9925895,0.17922534,1.8035051,1.8421793,5.9447727,0.13522342,2.8005595,2.4523838
59,8.672583,0.20313871,1.8034616,1.9561943,5.937344,0.15169124,2.8006878,2.2851481
60,9.762764,0.21966073,1.803448,1.7109112,6.395029,0.16612685,2.8006089,2.344094
61,9.070798,0.21207881,1.8034964,1.7826427,6.8368115,0.16745627,2.8006876,2.3405943
62,8.332832,0.23560481,1.8035003,1.9531038,4.820176,0.14922276,2.800686,2.576803
63,9.018614,0.23655882,1.8035115,1.7417519,7.417648,0.18403181,2.8006015,2.3091714
64,10.600937,0.25317678,1.8035004,1.5703658,8.190687,0.19645491,2.8006067,2.5001798
65,8.498868,0.2029939,1.8034949,1.892145,5.7739215,0.14661781,2.8006854,2.2415836
66,8.472967,0.22283593,1.8034844,1.966829,6.4295883,0.15861669,2.8006713,2.4925535
67,7.9113865,0.22608602,1.8034934,2.088479,8.019217,0.16932365,2.800368,2.2279568
68,6.5980744,0.17668594,1.803529,1.8539287,5.7473164,0.13694994,2.800247,2.4148362
69,8.144699,0.20844512,1.8034878,2.2308266,5.323004,0.14346696,2.8007245,2.3930793
70,10.093663,0.25098866,1.803425,1.6271086,7.8842535,0.19002862,2.8007622,2.1030612
71,8.577519,0.20596986,1.8034031,1.8277862,5.060374,0.14385152,2.8008566,2.2893047
72,8.319171,0.20769998,1.8034054,2.1389515,4.8050737,0.13509664,2.8006985,2.5128212
73,10.939694,0.28000963,1.8034191,1.3888508,8.238671,0.21688315,2.8008018,2.2461483
74,9.149547,0.22488965,1.8034194,1.8818202,5.2962914,0.1450814,2.8006716,2.4692879
75,9.267271,0.25752187,1.8034163,1.6785612,7.2083836,0.17771584,2.8007128,2.4746552
76,8.386744,0.22603668,1.8034111,1.9355505,5.6913176,0.16255887,2.800804,2.499901
77,8.460978,0.21605343,1.8034006,2.0308323,6.0857186,0.1616176,2.8006465,2.466616
78,9.133677,0.23148645,1.8033944,1.8087633,5.7212048,0.16684842,2.800368,2.472857
79,9.85621,0.23882547,1.8033692,1.6416106,6.10767,0.17210475,2.80077,2.2311273
80,10.572382,0.26037198,1.8033824,1.5276328,7.603598,0.18232733,2.8010411,2.4048486
81,10.317278,0.24400438,1.803392,1.6169459,7.094055,0.19645144,2.8006945,2.2616146
82,10.7576885,0.23393406,1.8033832,1.4825718,6.27638,0.15102592,2.801101,2.450394
83,8.279814,0.19647366,1.8033694,1.6643362,6.5465074,0.16086021,2.8008907,2.0713177
84,10.711637,0.24542724,1.803371,1.5402882,7.095977,0.18824229,2.8008442,2.337975
85,7.389818,0.19714719,1.803336,2.1854966,5.0357924,0.12779227,2.8005984,2.3314636
86,8.708207,0.21732175,1.803309,2.0550382,5.339625,0.13850752,2.800709,2.4614809
87,9.289177,0.25902444,1.8033789,1.7412719,7.9102054,0.18319073,2.800882,2.4278202
88,8.323329,0.21418929,1.8033769,2.154097,6.9207616,0.15512481,2.8010356,2.1565866
89,10.107553,0.24293278,1.8033886,1.7501273,6.4067183,0.16442928,2.80113,2.5591047
90,9.58764,0.23556942,1.8033749,1.7656703,5.2972,0.14793128,2.8009877,2.5601695
