,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,9.911296,0.3424051,1.7618612,1.6176845,5.200546,0.29782248,2.8088737,1.7218573
1,6.2448206,0.26604033,1.7618577,2.1398401,3.4955032,0.21912532,2.808971,1.9088634
2,8.268163,0.2954751,1.7617904,1.937149,4.9165936,0.2699117,2.8085995,1.7184442
3,9.098736,0.31444916,1.7618175,1.8658239,4.166156,0.25893855,2.8087373,1.8855538
4,9.15315,0.3368551,1.761819,1.8570535,5.014292,0.27578905,2.8086634,1.7431754
5,10.287972,0.34904948,1.7618467,1.5223318,4.775019,0.28828433,2.808281,1.8718606
6,11.828983,0.3404745,1.761816,1.3367245,4.5338078,0.2802772,2.8078668,1.9065917
7,9.666328,0.3308103,1.7617997,1.7364805,4.533343,0.26931098,2.8075838,1.8714525
8,9.025354,0.31973845,1.7618157,1.690499,4.404026,0.26252484,2.8074942,1.925208
9,8.207829,0.28463128,1.761844,1.8669435,4.5452075,0.25241607,2.8073568,1.7730538
10,8.501923,0.3098722,1.7618879,2.0293665,4.7483797,0.25938502,2.8068328,1.893601
11,10.1230345,0.3313636,1.7618175,1.6036869,5.1855373,0.29447895,2.8065767,1.7179586
12,9.372391,0.31399792,1.7617854,1.6760209,5.153752,0.29268005,2.8063588,1.716765
13,9.002383,0.3121542,1.7617791,1.8071419,4.7047143,0.25213844,2.8060296,1.9228771
14,7.1957955,0.3219573,1.7617447,2.3670607,4.5601435,0.22442381,2.8055248,2.0018694
15,8.994705,0.32497427,1.7617208,1.8222753,5.1142364,0.28033704,2.8057423,1.8228363
16,7.807246,0.32405344,1.7617289,2.2338548,3.877409,0.24599274,2.805798,2.0768538
17,8.6394005,0.32837462,1.7617676,1.9270648,4.6351323,0.2687548,2.806414,1.8916364
18,9.165732,0.33739558,1.7617997,1.7623945,4.4690623,0.26752943,2.805853,1.9251679
19,10.226771,0.33257392,1.7617754,1.594305,4.8110943,0.26964265,2.8058195,1.7674295
20,6.5256352,0.26583555,1.7617536,1.8906168,3.3829608,0.20188391,2.8059351,2.0898364
21,9.65312,0.3468793,1.7617983,1.7004634,5.317656,0.28524864,2.806075,1.7560576
22,9.748899,0.35305873,1.7617793,1.7091725,4.871957,0.28844872,2.8064225,1.8548336
23,8.505546,0.3014896,1.7618073,1.9547994,4.6273346,0.25087112,2.8064852,1.8880656
24,8.195337,0.2809167,1.7617788,1.8940877,4.1921816,0.22736844,2.806175,1.9637381
25,9.5190525,0.3330279,1.7618409,1.7483747,5.212144,0.2744858,2.806281,1.7186598
26,8.796073,0.3297495,1.7618527,1.8215196,4.565508,0.2734881,2.8061352,1.8508986
27,9.442345,0.33491763,1.7618433,1.7158084,5.1714625,0.28113526,2.806086,1.6995351
28,7.8907776,0.31218588,1.7618748,2.1973648,4.550465,0.23956612,2.8064628,1.8834124
29,9.024968,0.30732587,1.7618326,1.7412112,5.1971273,0.27269703,2.8059402,1.6948729
30,8.760272,0.3040304,1.7619132,1.9570967,4.599181,0.26467782,2.8059685,1.9074459
31,9.317546,0.31837696,1.7619268,1.8164315,5.6040773,0.2808037,2.805558,1.716851
32,7.566873,0.27283353,1.7619284,2.0460024,4.34708,0.2372206,2.8052742,1.7766922
33,5.8775373,0.25715494,1.7619016,2.0070014,3.5882978,0.21139172,2.805453,1.9840274
34,9.410962,0.32953084,1.7618604,1.6900789,4.583862,0.27964467,2.805319,1.8363848
35,8.794656,0.33087143,1.7619271,1.7532161,4.560739,0.2711069,2.8057973,1.8585231
36,8.526526,0.2941247,1.7619723,1.8639028,4.075994,0.24210453,2.8061233,1.9328631
37,8.414582,0.3429592,1.7619587,1.8881385,4.193046,0.27094045,2.806042,1.8873574
38,6.7440166,0.2801441,1.7619684,2.2703602,4.2511835,0.23086603,2.805759,1.8688719
39,7.9632816,0.27436715,1.7619921,1.9013947,3.2485952,0.21374798,2.8062959,1.9845767
40,9.101967,0.33974373,1.7619442,1.8184403,4.801874,0.28362066,2.8060238,1.9099382
41,8.7453575,0.3373653,1.7619548,1.9518809,4.617613,0.26420292,2.805545,1.9204123
42,9.356973,0.32871014,1.7619493,1.8013723,4.455355,0.2770056,2.8057702,1.8484727
43,8.458947,0.32542628,1.7619642,1.8076296,4.4457707,0.26967758,2.8057346,1.9161502
44,8.905244,0.34993178,1.7619679,1.8310137,4.901932,0.28688934,2.8053937,1.88186
45,10.053729,0.32169786,1.7619578,1.6466047,4.7944837,0.27107006,2.8047872,1.8352191
46,8.820601,0.3127295,1.7619488,1.7969191,4.432863,0.25555065,2.8051748,1.9121248
47,7.8928285,0.2921142,1.7619375,2.0640485,4.277246,0.23166457,2.804989,2.00941
48,11.818531,0.3470738,1.7618881,1.3411294,5.103697,0.2921227,2.805559,1.788242
49,9.364572,0.292172,1.7618637,1.8717145,5.1147842,0.24868605,2.805247,1.7826681
50,8.887325,0.31491393,1.761871,1.8694496,5.008557,0.27035898,2.8051496,1.6869707
51,7.8894095,0.2924647,1.7618482,1.9112848,4.1401505,0.24418971,2.805847,1.9454606
52,9.03577,0.340124,1.7619039,1.7949469,4.6602397,0.28029853,2.8056269,1.9552623
53,7.830924,0.2890483,1.7618713,1.9361538,4.4658985,0.2515375,2.8058825,1.9027865
54,8.545216,0.3182551,1.7618321,1.9102767,4.4991045,0.2660852,2.806251,1.9194674
55,8.03749,0.31907102,1.761843,2.2888477,4.0865455,0.25232354,2.8062193,1.931919
56,9.519693,0.37962922,1.7618674,1.6254917,4.902108,0.3048465,2.806079,1.7813545
57,7.184114,0.3201254,1.7618771,2.3001492,4.331197,0.27453166,2.8059347,1.808367
58,7.552797,0.27920124,1.761879,1.7464358,4.3998103,0.22448525,2.805534,1.8631914
59,7.243283,0.30000445,1.7619085,2.2119596,4.8772297,0.25860947,2.8048766,1.8343737
60,7.564649,0.27790138,1.7618942,1.756393,4.1234765,0.22586048,2.8045936,1.9496918
61,7.3381543,0.29685056,1.7618667,2.2656155,4.439754,0.2415065,2.8044174,1.8609612
62,8.061692,0.27723834,1.7618743,2.10163,4.6066833,0.2332662,2.8042917,1.865885
63,10.247182,0.31245115,1.7618722,1.4471614,4.665976,0.2652729,2.8042877,1.8202411
64,6.9375463,0.2807657,1.76179,2.235193,4.3137345,0.23394859,2.8043528,1.9469681
65,9.674076,0.3319808,1.7617593,1.6682935,4.752766,0.2799751,2.804291,1.8440531
66,10.880184,0.4091983,1.7617408,1.3461883,5.729185,0.32508865,2.8039002,1.6748099
67,8.52353,0.30504403,1.7617447,2.001805,4.182646,0.25134125,2.8031235,1.8301247
68,8.0417,0.32797736,1.7617608,2.1682656,4.338992,0.26760393,2.8028479,1.9172007
69,9.152204,0.33660302,1.7617408,1.8294606,4.466138,0.2695461,2.8032405,1.9549049
70,7.4141583,0.28756574,1.7617381,2.11694,4.7079053,0.24466999,2.8035107,1.8689669
71,8.808767,0.2999311,1.761735,1.5798429,4.5720162,0.24235353,2.8040502,1.9293113
72,9.460968,0.30949214,1.7617323,1.6935107,5.536889,0.27337775,2.8041916,1.7204509
73,7.6601086,0.27868548,1.7617399,1.9900063,4.041498,0.2127951,2.8039124,2.0020735
74,9.248465,0.28308836,1.761738,1.822232,4.941323,0.24727245,2.804264,1.8631203
75,10.588738,0.3343288,1.7617359,1.5304673,4.700545,0.27558643,2.8040912,1.8499373
76,9.342917,0.30356178,1.7617753,1.5245979,4.7692494,0.25623828,2.8038468,1.7845489
77,10.353697,0.31327847,1.7617661,1.5780814,5.0154023,0.2682876,2.80354,1.7386231
78,9.493956,0.32703096,1.7617123,1.8728094,4.861371,0.26970258,2.8030894,1.8126986
79,8.158639,0.30623412,1.7617077,2.1320024,4.888963,0.25587887,2.802947,1.8173541
80,9.157269,0.33573455,1.7617798,1.7717543,4.54295,0.27352744,2.8032858,1.7360487
81,6.888885,0.3078051,1.7618127,2.4508,4.1816397,0.24767692,2.8029811,1.876701
82,7.5093384,0.28426722,1.7618039,1.8919309,4.3182287,0.2470026,2.8030553,1.8819957
83,10.601982,0.32761744,1.7618134,1.6298573,4.518274,0.2765823,2.8032277,1.8403164
84,8.767605,0.32269484,1.7617915,1.7842175,4.5111785,0.25918585,2.8029454,1.8034444
85,8.876768,0.32676768,1.7617043,1.7971848,4.6005263,0.270041,2.802607,1.9385126
86,9.7420025,0.33077022,1.7617258,1.6977422,5.2147865,0.27110392,2.8026326,1.77847
87,9.216704,0.32285124,1.7616816,1.6695955,4.405276,0.27554095,2.8024392,1.8146939
88,9.363288,0.33749276,1.7616904,1.6893183,4.7036724,0.28760144,2.8020976,1.8110323
89,9.109226,0.31859097,1.7617149,1.8536185,4.409339,0.25831035,2.8017285,1.9252328
90,10.024606,0.3422545,1.7616467,1.4717919,4.6070013,0.27543694,2.8013027,1.8940179
91,11.488255,0.3130864,1.7616895,1.4574981,6.0466323,0.28403234,2.8010755,1.7037574
92,8.7172985,0.3320529,1.7616792,1.9532695,4.2934766,0.26017454,2.8010607,1.996616
93,7.467208,0.33202273,1.7616615,2.1681867,3.9174697,0.2520435,2.8007514,2.009974
94,10.130553,0.36778545,1.7616744,1.6202601,4.99401,0.28501505,2.8008666,1.8171632
95,9.16747,0.32542917,1.7617166,1.690838,4.7743015,0.2654143,2.8011973,1.8393844
96,10.856455,0.37166947,1.7617456,1.5132474,4.7123075,0.2855901,2.800807,1.8062444
97,6.8430667,0.28665534,1.761737,2.1794665,4.2961574,0.23928532,2.80134,1.9682306
98,8.149989,0.29460797,1.7617168,2.0321298,3.7121756,0.23655072,2.800687,2.013525
99,6.4585466,0.27002975,1.7616953,1.847292,3.6199558,0.20833763,2.8009279,2.1370695
100,8.291367,0.29855445,1.7616502,1.8787545,4.2792263,0.23980069,2.8015563,2.1369448
101,8.546994,0.32432202,1.7616937,1.8133471,4.9017906,0.2648974,2.8015807,1.8459724
102,9.802172,0.35826463,1.7616533,1.6484841,5.076283,0.2927379,2.8010495,1.7345967
103,7.8501225,0.32575476,1.7616472,2.1405482,4.649378,0.26718313,2.8011467,1.9175302
104,6.674486,0.27657905,1.7616538,2.251806,3.913882,0.21541087,2.8006532,2.0067735
105,10.10425,0.3482372,1.7616463,1.6953051,4.8343296,0.27857563,2.800826,1.8741364
106,10.842323,0.33860832,1.7615955,1.5149645,5.096412,0.28749305,2.8007,1.7667089
107,8.861202,0.3508058,1.7615738,1.8989218,4.6238914,0.28270072,2.800415,1.8724077
108,7.648558,0.29029125,1.7616364,2.258479,4.181786,0.24324636,2.8004193,1.9771913
109,9.431753,0.3201148,1.7616212,1.6513872,5.0358143,0.2778147,2.8003492,1.7189293
110,8.161285,0.29825726,1.7615495,1.8196396,4.2987967,0.25481975,2.800348,1.9717602
111,8.560754,0.32956883,1.7615137,1.9263381,4.8905945,0.27920216,2.8005009,1.8294574
112,8.995175,0.30866775,1.7615656,1.9326373,4.813792,0.26625496,2.8005555,1.7671828
113,8.181112,0.31399062,1.7615356,1.9046991,4.5457954,0.2676027,2.800723,1.8191835
114,11.434015,0.40545252,1.7614948,1.2908144,4.9592047,0.3181673,2.8006454,1.8086374
115,10.006825,0.33163148,1.7614869,1.6931453,4.832163,0.27462858,2.8006263,1.8764051
116,9.168792,0.3281087,1.7614518,1.7904122,4.217127,0.25575832,2.801,1.972945
