,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,8.22582,0.21664232,1.8821827,1.9558663,4.5871778,0.16290303,2.759284,2.0090547
1,9.214233,0.23417616,1.8821795,1.7766296,5.373026,0.18102552,2.759346,1.8728544
2,8.964169,0.23261252,1.8821764,1.671758,4.881225,0.1741909,2.7593737,1.9552245
3,7.2324004,0.18772542,1.8821622,1.8616043,3.9975286,0.13732252,2.7593384,2.1939695
4,10.332871,0.25168818,1.8821402,1.5795499,4.8012037,0.1810035,2.759168,1.9710938
5,8.472474,0.22392397,1.8821309,1.8937806,4.722866,0.17071398,2.759407,2.0214663
6,6.7620153,0.18151477,1.8821238,1.8306104,4.5125294,0.14363082,2.7593546,1.9372172
7,9.948111,0.22887939,1.8821313,1.6265479,4.3382635,0.16232419,2.7593796,2.098628
8,7.9609103,0.21749036,1.8821578,1.9872618,4.4627123,0.16454849,2.759271,1.9850825
9,9.867078,0.2428197,1.8821417,1.6014501,5.2433314,0.18390194,2.7591238,1.8797123
10,6.396762,0.19623622,1.8821563,2.5727918,3.8821175,0.13687892,2.7595205,2.1660674
11,7.8949685,0.19607814,1.8821247,1.6580061,4.0550346,0.12646362,2.7593696,2.2716436
12,10.264762,0.23346373,1.8821291,1.5788323,5.7768226,0.18564269,2.759339,1.7861758
13,6.9368224,0.20425242,1.88213,2.0944717,4.2684293,0.1527078,2.7591858,2.0358326
14,9.521854,0.21885316,1.8821256,1.5341123,4.7525463,0.1628543,2.759156,1.9733356
15,7.4435883,0.19335987,1.8821164,1.7402741,4.865368,0.15614842,2.7593026,1.8272429
16,8.253542,0.21991809,1.8821559,1.8776814,4.6584964,0.1742201,2.7591991,1.9280475
17,8.905442,0.23738378,1.8821548,1.9966753,4.2516403,0.16076118,2.7593036,2.2103486
18,8.88592,0.2344695,1.8821759,1.8007537,5.1363606,0.17096107,2.7592232,1.9639632
19,8.998099,0.23683931,1.8821737,1.9249152,4.7889037,0.18601933,2.7590632,1.9013193
20,8.957492,0.22108467,1.8821948,1.7799798,5.1843452,0.17895663,2.759087,1.8058281
21,8.948591,0.20909826,1.8821967,1.5628359,4.9144907,0.16032252,2.7590516,1.9446025
22,11.602652,0.2786364,1.8821948,1.3053924,4.8743467,0.20045915,2.7589197,1.9626781
23,9.277669,0.26562318,1.8822047,1.6301336,4.684724,0.18780866,2.7586925,1.8968147
24,8.344241,0.24347492,1.8822118,1.9292804,5.0541096,0.1786238,2.7588086,1.8950373
25,7.3704133,0.22406538,1.8822211,2.2294924,4.390673,0.163317,2.758666,2.0717838
26,8.513836,0.21563175,1.8822137,1.880989,4.3837175,0.1577491,2.7587256,1.957602
27,7.8273973,0.21628875,1.8822076,2.008384,4.8700624,0.1748193,2.7586486,1.8634684
28,7.5250998,0.20458817,1.8822061,1.8882905,4.669532,0.16532613,2.759074,1.8889863
29,8.263084,0.23845106,1.8821931,2.2497244,4.4501987,0.17440946,2.7590942,2.0451977
30,8.601022,0.21514167,1.8821741,1.8609352,4.7853923,0.16689125,2.759122,2.003376
31,7.867388,0.21748225,1.8821651,2.0134668,4.6220927,0.17009333,2.75917,1.9846746
32,7.770385,0.21325876,1.8821132,2.0773914,5.235855,0.16754241,2.7592852,1.8819239
33,9.244758,0.23923975,1.8820714,1.6827226,5.203113,0.189869,2.7593567,1.8173742
34,9.277148,0.2056765,1.8820623,1.6719637,5.3081717,0.17361653,2.7596648,1.8060734
35,6.9930444,0.18695815,1.8820294,1.8910168,4.9243994,0.1471244,2.7596335,1.9652798
36,9.349237,0.2564752,1.8820362,1.7577341,4.926739,0.19663073,2.7593591,1.857618
37,9.196825,0.22701348,1.8820298,1.7956265,4.6545525,0.17634629,2.7593157,1.9395492
38,11.006779,0.25263727,1.8820463,1.4179212,5.2808776,0.19444427,2.7595294,1.82738
39,8.952622,0.23893592,1.882016,1.8863381,5.0004096,0.16642383,2.7593284,2.1291997
40,10.017682,0.2548348,1.8820262,1.5159442,5.083662,0.19471094,2.7592068,1.8161973
41,6.406693,0.18630283,1.8820367,2.273615,3.7695968,0.13649443,2.7591314,2.0565186
42,9.3231535,0.25835502,1.8820298,1.7538608,5.3570676,0.18895295,2.7590005,1.8438561
43,6.6302633,0.18419257,1.8820314,1.8254765,3.4827116,0.12512405,2.759182,2.1729882
44,7.3678274,0.20564568,1.8820287,2.316547,4.7078996,0.14933686,2.7591918,2.0587254
45,8.157721,0.2076696,1.8820566,1.7715403,4.9306684,0.17308022,2.7589808,1.8701174
46,8.556127,0.22114697,1.8820872,1.7247698,4.5504756,0.16789505,2.7590144,1.9337035
47,7.935639,0.21713212,1.8820665,2.1009016,4.6390166,0.17051126,2.7590246,2.0138202
48,10.77098,0.25707644,1.88207,1.3957366,4.828148,0.18911669,2.7589948,1.9529846
49,8.693083,0.20942315,1.882055,1.8992692,4.803734,0.15348065,2.7590811,2.0022948
50,10.023403,0.23081547,1.8820655,1.6297245,4.6773744,0.17058891,2.7592363,1.9550107
51,9.202525,0.22833799,1.8820662,1.6476959,4.8168373,0.17742495,2.759147,1.9194447
52,7.7766848,0.22867772,1.8820728,2.2998643,3.9651933,0.1493538,2.758846,2.262631
53,7.9469137,0.20983328,1.8820935,2.030109,4.366902,0.15882322,2.7588704,1.9834663
54,6.9858127,0.18921952,1.882112,1.8620869,4.048244,0.14013053,2.7587738,2.1613429
55,7.191429,0.19911924,1.8820697,2.121031,4.2479167,0.15387563,2.7589111,2.0442753
56,10.299966,0.2530609,1.8820686,1.6168805,4.5444355,0.1839997,2.7590327,1.964945
57,5.626139,0.17565644,1.8820611,1.9647719,4.0935507,0.13126926,2.7590115,2.0432277
58,6.7300715,0.22113608,1.8820665,2.6297402,4.47961,0.1472474,2.7589483,2.048569
59,5.546953,0.17353357,1.8820397,1.9375058,4.0637984,0.13070908,2.7588603,2.0858166
60,8.532613,0.2069645,1.8820541,1.7840393,4.2647123,0.1487368,2.7587056,2.2024884
61,9.3577585,0.23292305,1.8820535,1.6340319,5.4785643,0.17591994,2.758999,1.8622851
62,9.3588295,0.24954244,1.8820599,1.8003649,4.5584555,0.1791333,2.759295,2.092052
63,7.136881,0.20702879,1.8820474,2.1591465,4.3584666,0.16070125,2.7591414,1.9501277
64,7.471546,0.22153224,1.8820224,2.2769544,4.2416835,0.15290174,2.7590225,2.1422007
65,8.355589,0.20956814,1.8819972,1.8467306,4.151711,0.16189542,2.7591877,2.0880294
66,7.3965874,0.20943409,1.8820457,2.3136873,4.127323,0.14807773,2.7594695,2.2272182
67,5.33452,0.16908829,1.8820249,1.9544013,3.6473196,0.122628465,2.7594435,2.1214356
68,10.4585495,0.25046787,1.8820317,1.4817626,4.778137,0.18079305,2.7593846,1.9421107
69,10.365436,0.27309948,1.8820181,1.43048,5.072559,0.19693004,2.7595196,1.9363059
70,8.419098,0.21358383,1.882008,1.9056802,4.757976,0.16681342,2.7593155,2.0655956
71,9.4949045,0.2287047,1.8820192,1.680849,4.5733595,0.17677477,2.759181,1.9603039
72,8.994132,0.22821824,1.8819816,1.7393553,5.2581673,0.18175717,2.759113,1.8942672
73,9.5167,0.22218043,1.8819587,1.6305085,4.421952,0.1651127,2.7593565,1.9345223
74,10.675336,0.25370023,1.881931,1.4859103,4.7200985,0.18676507,2.7594543,1.8870713
75,9.793325,0.26529416,1.8819042,1.7214094,4.5805845,0.188328,2.7595923,1.9781895
76,8.127886,0.22154774,1.8819387,1.9558941,4.513887,0.14922537,2.759668,2.025381
77,7.868461,0.20144735,1.8819458,1.9892968,4.9475226,0.17204516,2.759501,1.7742124
78,10.541028,0.23504278,1.8819607,1.6031026,4.754086,0.16511612,2.7594743,1.9799962
79,10.735313,0.23509741,1.8819566,1.502092,4.4496303,0.17956515,2.7595124,1.9794216
80,7.347058,0.19174758,1.881968,1.7560031,5.2534113,0.15170829,2.7594256,1.864636
81,8.716188,0.2473387,1.8819383,1.9703603,4.656404,0.17617059,2.7595224,2.0814486
82,9.8822365,0.24035244,1.881938,1.5678656,4.8346076,0.1755088,2.7596486,1.9405125
