,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,7.3307633,0.25393224,1.7981555,1.9156336,6.487148,0.19172624,2.6986763,2.0915854
1,11.596024,0.34731722,1.7981681,1.6120958,10.29679,0.29218492,2.6987858,2.0261621
2,10.826776,0.3537798,1.7981817,1.6751238,8.068145,0.3038054,2.6987894,2.1037786
3,9.202046,0.3000186,1.7982131,1.9151963,6.9600263,0.22408453,2.6988301,2.001049
4,12.509191,0.3732523,1.7982247,1.4067738,11.361798,0.37086505,2.6988206,1.7947637
5,9.41816,0.2928192,1.7982228,2.0352862,7.9283814,0.23637374,2.6989093,1.9690483
6,11.380693,0.33578452,1.7982243,1.5764426,9.797551,0.27465257,2.6989632,1.9731215
7,11.196353,0.3511478,1.7982194,1.6226473,9.370804,0.28417858,2.698897,2.0560095
8,9.963801,0.29058823,1.798204,1.5795093,9.425713,0.26071006,2.6988738,1.9529228
9,12.107701,0.37484062,1.7982265,1.4223652,10.299453,0.3371415,2.6989465,2.03454
10,9.052883,0.28193706,1.7982236,1.8744711,6.6810446,0.20960088,2.6989079,2.084699
11,12.222481,0.37986976,1.7982255,1.3688914,10.74408,0.316958,2.6989312,2.0464334
12,7.0440965,0.27620944,1.7982149,2.4484184,5.6963744,0.18932495,2.6989539,2.1184475
13,8.164577,0.29395464,1.798248,2.4005914,6.3180637,0.21416152,2.6988761,2.0917804
14,8.531311,0.28887194,1.7982526,1.9861891,5.3982997,0.18908584,2.6988328,2.2116356
15,8.637941,0.27793533,1.7982638,1.9643855,6.3268347,0.20141049,2.6988146,2.1775906
16,10.383296,0.34476978,1.7982991,1.7864043,7.412591,0.26287395,2.6987836,2.0171316
17,11.227386,0.3357734,1.7982994,1.5659757,10.101554,0.28664297,2.6986997,2.0755599
18,10.3357,0.28333488,1.7983159,1.7292285,8.828077,0.2443451,2.6986892,1.8628002
19,8.9932575,0.26743376,1.798317,1.8817557,6.2303452,0.1951023,2.6986852,2.074447
20,8.771698,0.27499825,1.7983236,2.0053632,4.9634094,0.18798499,2.6987553,2.157737
