,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,9.162035,0.18284422,1.850141,1.8334715,5.636449,0.07329811,2.7083042,1.5621641
1,9.452298,0.17612171,1.8501555,1.8164618,6.0517488,0.07102889,2.7083254,1.5426081
2,9.425891,0.18521926,1.8501505,1.5687717,5.954373,0.07366308,2.708337,1.4728987
3,8.507645,0.18965086,1.8501593,1.7891552,5.4574304,0.07430847,2.7083633,1.5295264
4,8.153001,0.17996927,1.8501363,2.0547104,5.498755,0.07163058,2.7083862,1.5559775
5,10.208239,0.19253035,1.8501256,1.4447567,5.857138,0.07520255,2.7083683,1.5400975
6,8.717602,0.18264504,1.8501104,2.1375976,5.461896,0.07230686,2.708371,1.5994546
7,7.284114,0.18385835,1.8501303,1.9476291,5.1799836,0.07168867,2.708344,1.6042156
8,9.218573,0.18561195,1.8501481,1.797233,6.1179576,0.07354872,2.7083638,1.5549178
9,9.584786,0.19310936,1.8501385,1.7656703,6.0725503,0.075907506,2.708397,1.5154798
10,10.432975,0.18369164,1.8501277,1.7478207,6.642196,0.07455243,2.7084248,1.4780307
11,8.241142,0.17876577,1.8501613,1.9641134,5.2013245,0.07235501,2.7084243,1.5681529
12,8.214375,0.18546137,1.8501462,1.9470009,5.5193744,0.07379824,2.7083912,1.5386356
13,7.33216,0.18682283,1.8501561,2.22118,4.9177456,0.07353583,2.7084103,1.6342335
14,10.775939,0.18519229,1.8501834,1.4991424,6.810456,0.07524668,2.7084315,1.4569658
15,8.9513445,0.18111658,1.8501928,1.8347719,6.673069,0.07371791,2.7084696,1.4485204
16,9.479736,0.18149978,1.8501995,1.5430084,6.327725,0.0739761,2.7084908,1.3803414
17,8.959056,0.18079673,1.8501887,1.8943236,5.460504,0.073619545,2.7085164,1.5855982
18,8.281391,0.17455357,1.8501832,2.013738,5.6673193,0.07046473,2.7085328,1.5469103
19,7.589462,0.18248233,1.8501596,2.126842,5.0025654,0.07285185,2.7085536,1.6346806
