,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,8.541032,0.17707996,1.7603186,1.9665592,3.109301,0.09664139,2.6684763,2.811581
1,7.8694167,0.1624489,1.760301,1.8141589,3.8318715,0.10361098,2.6684499,2.457665
2,10.438676,0.20139791,1.7602943,1.5699832,3.7472043,0.11232211,2.6684606,2.5152404
3,9.975241,0.182426,1.7602977,1.7282325,3.9534025,0.11011584,2.6684246,2.4209661
4,9.236342,0.1814718,1.7602911,1.7054707,3.8938477,0.1052023,2.6684475,2.5174046
5,9.425548,0.18949991,1.760295,1.7891129,3.3715394,0.10241536,2.6684048,2.6393492
6,7.568027,0.18439406,1.7602959,2.1226423,3.3838918,0.09248258,2.6684165,2.644202
7,8.702977,0.18299706,1.7602813,1.9283555,4.1916995,0.11149144,2.6684525,2.123372
8,7.726009,0.173649,1.7602754,2.3336864,3.464264,0.10011034,2.6684701,2.5658581
9,7.047375,0.17729814,1.7602603,2.39667,2.958184,0.0923221,2.668491,2.6447442
10,7.68091,0.16162395,1.7602723,1.71303,2.861645,0.083153225,2.6684878,2.838569
11,10.288597,0.19887461,1.7602613,1.5828137,3.7632542,0.11262121,2.668482,2.5307317
12,8.99882,0.1813018,1.7602581,1.9608228,3.2918499,0.104359165,2.6684818,2.5420456
13,8.116527,0.18485102,1.760274,2.1063697,3.1726534,0.094954744,2.6684775,2.706144
14,8.407845,0.18058197,1.76028,1.9930052,3.500885,0.10025698,2.6684847,2.6183085
15,9.429363,0.19727938,1.7602971,1.7093385,3.5587518,0.10831408,2.6684852,2.562992
16,8.923136,0.18614386,1.7602986,1.7467844,3.6162536,0.10823141,2.668477,2.5174222
17,9.347844,0.18310152,1.7603077,1.7549793,3.705821,0.10360736,2.6684885,2.5593116
18,8.108829,0.16398036,1.7603115,2.0078635,4.0232444,0.095996045,2.6684656,2.2604654
19,9.987513,0.18769006,1.7603171,1.6750143,3.6034126,0.10292123,2.6684382,2.6023538
20,8.251616,0.17614272,1.7603191,2.0341086,3.4258509,0.09570511,2.6684222,2.5734413
21,8.085102,0.17988484,1.7603272,2.0499094,3.7683623,0.10564134,2.668423,2.433303
22,8.8930645,0.18112251,1.7603272,1.9687136,3.3306928,0.1015465,2.6684275,2.656035
23,10.396959,0.19720101,1.7603151,1.7566768,3.736179,0.10614771,2.668407,2.597238
24,9.09967,0.18648045,1.7603265,1.8259561,4.037565,0.11107663,2.6684182,2.4421117
25,7.6208973,0.15827557,1.7603313,1.9420437,3.170842,0.09138526,2.6684084,2.555623
26,10.130759,0.19765748,1.7603282,1.5553775,3.7000415,0.11202176,2.6684277,2.485212
27,10.469252,0.20413648,1.7603312,1.6249143,3.9170074,0.10888517,2.6684575,2.6550448
28,7.791752,0.17484596,1.7603381,2.0109718,3.1358097,0.09309985,2.66842,2.8228135
29,8.4995,0.18827923,1.7603378,2.0881763,2.9047844,0.09702872,2.668407,2.6661851
30,8.994051,0.16765921,1.7603383,1.8469181,4.537042,0.11014168,2.668432,2.226208
31,7.3601055,0.15931003,1.7603468,1.7507255,3.433258,0.087969445,2.6685064,2.3593075
32,7.951712,0.16983478,1.7603678,2.004731,3.6164393,0.09429133,2.668514,2.5392716
33,9.119674,0.19519866,1.7603601,1.7922347,4.2589455,0.1140746,2.6685052,2.292501
34,9.219132,0.18195231,1.7603579,1.838005,3.7957125,0.10379066,2.668506,2.3258643
35,8.673102,0.17587073,1.7603537,2.0121398,3.0923815,0.08938201,2.6685476,2.8958642
36,8.173076,0.1675853,1.7603523,1.6559005,3.7491693,0.0993149,2.6685271,2.3403602
37,8.883484,0.17659678,1.7603728,1.8247339,3.888436,0.10682267,2.6685188,2.2392235
38,8.839775,0.2078679,1.7603607,1.7558336,3.9088376,0.10759866,2.6685505,2.5603745
39,7.4949436,0.15706465,1.7603657,2.1231203,3.268503,0.09088929,2.6685297,2.5893128
40,8.7289,0.18036439,1.7603723,1.9345963,4.3870125,0.11172781,2.6684773,2.2808175
41,11.598137,0.20350853,1.7603705,1.3215513,4.296317,0.11490723,2.6684654,2.2994704
42,6.4281187,0.15691023,1.7603706,2.3181078,3.2546127,0.08743014,2.668499,2.485971
43,8.621773,0.18579441,1.7603793,1.9224105,3.3192282,0.10031625,2.6684756,2.7683198
44,8.389915,0.17884937,1.7603836,2.0326483,3.8980763,0.10621645,2.6684594,2.4231324
45,9.609176,0.17890358,1.7603996,1.6869385,3.3912113,0.09419535,2.6684887,2.5879989
46,8.859755,0.18288414,1.7604169,2.0811589,3.7554245,0.101345375,2.66847,2.426217
47,10.369965,0.19796307,1.7604212,1.5604162,3.4621692,0.10965635,2.6684873,2.599187
48,10.446962,0.19440244,1.7604293,1.613377,3.4194808,0.09949569,2.6685026,2.6701777
49,8.634508,0.18075968,1.7604462,1.8672253,3.6397097,0.10097089,2.6685612,2.6397643
50,7.4464154,0.17028491,1.7604629,2.04784,3.2969832,0.09907705,2.668558,2.6781127
51,8.92135,0.19402926,1.7604603,1.8502895,3.7200997,0.10705797,2.668554,2.5297413
52,9.339271,0.17747901,1.7604681,1.8234713,3.4181805,0.10192597,2.6685944,2.5773995
53,7.0349073,0.161966,1.7604852,2.1321106,3.068416,0.09375414,2.6686003,2.5563982
54,9.1757965,0.18655136,1.760507,1.8456963,3.830388,0.103361264,2.668627,2.4172509
55,10.048375,0.19837253,1.7604951,1.553259,3.7600336,0.11168303,2.6686342,2.4730318
56,7.4865813,0.15994123,1.7604917,1.754668,3.0263495,0.083446205,2.6686752,2.7944841
57,9.324047,0.18928525,1.7604992,1.8092264,3.5910583,0.10563268,2.6686141,2.6395411
58,9.441039,0.18680388,1.7604988,1.7921659,3.6997771,0.10383801,2.6686156,2.563489
59,9.385694,0.19202921,1.7605083,1.9466941,3.5296655,0.09994638,2.668613,2.5224159
60,10.053211,0.18878902,1.7605097,1.6040775,3.9361103,0.10523663,2.6685774,2.4940124
61,9.126278,0.2054775,1.7605063,1.7229551,3.1667728,0.09495515,2.6686184,2.832471
62,10.91148,0.20867695,1.7605097,1.4314765,3.577095,0.11432079,2.6685588,2.5525339
63,8.844411,0.17021154,1.7605145,1.8204914,3.9854338,0.10224755,2.6685455,2.5099359
64,9.3643265,0.18237823,1.7605174,1.6977098,3.2788994,0.102750026,2.6685977,2.4140685
65,9.844895,0.20195022,1.7605202,1.7919322,3.6343706,0.10494967,2.668603,2.7356143
66,9.137697,0.1830567,1.7605187,1.7725918,4.0512977,0.11026387,2.66849,2.4649498
67,11.013604,0.2029924,1.7605234,1.5633955,4.18164,0.10930504,2.668468,2.5520399
68,7.203773,0.16861975,1.760529,2.1844523,2.9124615,0.092628255,2.6684573,2.6264837
69,8.154853,0.18677494,1.7605306,2.1018057,3.5890887,0.10444579,2.6684597,2.435475
70,8.856175,0.1913271,1.7605509,1.8512136,3.5561712,0.102702916,2.6684859,2.519563
71,7.8106937,0.16635086,1.760551,2.0392687,3.9812658,0.1042691,2.668467,2.3262684
